year,ann_co2_gr
1961,0.78
1962,0.56
1963,0.57
1964,0.49
1965,1.1
1966,1.1
1967,0.61
1968,0.99
1969,1.32
1970,1.13
1971,0.73
1972,1.47
1973,1.46
1974,0.68
1975,1.23
1976,0.97
1977,1.92
1978,1.29
1979,2.14
1980,1.68
1981,1.15
1982,1.0
1983,1.84
1984,1.23
1985,1.65
1986,1.02
1987,2.65
1988,2.17
1989,1.46
1990,1.22
1991,0.75
1992,0.72
1993,1.23
1994,1.66
1995,2.0
1996,1.06
1997,1.97
1998,2.84
1999,1.33
2000,1.25
2001,1.85
2002,2.36
2003,2.29
2004,1.56
2005,2.47
2006,1.78
2007,2.13
2008,1.78
2009,1.58
2010,2.36
2011,1.73
2012,2.42
2013,2.45
2014,2.03
2015,2.95
2016,2.83
2017,2.14
2018,2.39
2019,2.5
2020,2.32
2021,2.45
2022,2.25
2023,2.74